timestamp,autor,clave,campo,antes,despues,tipo,estado
2026-07-24T00:37:13,Alejandro,TABLERO,Cruce con sheet comprometido a Milagros,"9 épicas, 46 quests","10 épicas (+Exploración Salud), 59 quests (+13: Q-49-52 nueva épica, Q-53-57 EPIC-1 sin CUA+4 pilotos, Q-58-59 EPIC-7 Banbif, Q-60-61 EPIC-2 Flyer/Speech ya entregados); 3 discrepancias flageadas para confirmar (Q-21 días, Q-1 y Q-38 personas)",normal,aplicado
2026-07-24T01:17:27,Alejandro,TABLERO,"Contexto estratégico Q3 (Perform/Transform, prioridades comité, backlog nuevo)","9 secciones, sin marco Perform/Transform, EPIC-7 llamado Renovación EPS","marco 80/20 Perform/Transform agregado; EPIC-7 renombrado Estrategia EPS (Stef+Jonathan, reemplaza a Alejandro/Felipe en Q-38); EPIC-1 suma a César y 4 frentes de backlog (Q-62-65); EPIC-8 suma arquitectura de conocimiento (Q-66); Bienestar 360 despriorizado (on hold); Cobranzas cerrando; Convenios secuenciado tras EPIC-1; AMI Q-18 cierre movido a 28/07 (aprobado); 2 códigos rojos nuevos de capacidad (Stefanie 12, Alejandro 10) por decidir",normal,aplicado
2026-07-24T01:31:40,Alejandro,TABLERO,Resolución de capacidad (fasear en vez de redistribuir),"2 códigos rojos: Stefanie pico 12, Alejandro pico 10","0 rojos: Q-38 faseado 13/07->25/07 (Stefanie), Q-18 concentrado 06-28/07->24-28/07 (Alejandro); ambos picos bajan a 7. Q-31 liberado de fechas por estar on hold. Nueva sección de análisis de capacidad documentando los 2 principios (compartir épica completa, fasear antes que redistribuir) y la tensión sin resolver de EPIC-6 vs cierre de EPIC-1",fecha,aprobada
2026-07-24T01:44:22,Alejandro,TABLERO,Q-67 nuevo,— (no existía),"Programa de referidos (EPIC-1, backlog): segunda mitigación CUA, complementa Q-63 alertas CRM",normal,aplicado
2026-07-24T01:44:22,Alejandro,DOC,reportes/presentacion_back_to_basics.md,— (no existía),"Documento de presentación para Milagros: contexto, entregables V1, siguientes pasos (entrenamiento, canales Vida, ramo AMI, mitigación CUA)",normal,aplicado
2026-07-26T23:16:02,Alejandro,DOC,presentacion_back_to_basics.md (rehecho),"Sin sección de origen, sin mapa del ecosistema","Suma sección Origen (contexto de despriorización, pedido de speeches, exploración obligatoria de sistema, hallazgo de diseños no articulados, unificación en Back to Basics) y lámina del mapa del ecosistema de Venta Vida (imagen real, no interpretada)",normal,aplicado
2026-07-26T23:24:58,Alejandro,Q-6/Q-8,Corrección de metodología de research,Q-6: solo desk research+bench; Q-8: sacrificial concepts para elicitar objeciones de no clientes (sin CUA),"Q-6 suma shadowing con asesores, entrevistas y cliente incógnito; Q-8 corregido a validación de la estrategia de contacto con Legal, Cumplimiento y clientes (no elicitar objeciones de no clientes)",normal,aplicado
2026-07-26T23:26:30,Alejandro,DOC,presentacion_back_to_basics.md — evidencia V1,Sacrificial concepts descrito como elicitar objeciones de no clientes (sin CUA); sin mención de shadowing/entrevistas/cliente incógnito,"Sacrificial concepts corregido a validación con Legal/Cumplimiento/clientes; se suma shadowing con asesores, entrevistas y cliente incógnito",normal,aplicado
2026-07-26T23:41:12,Alejandro,Q-68/Q-69,Nueva evidencia primaria,— (no existía),"Q-68: encuesta a 19 asesores (uso/satisfacción herramientas, manejo de objeciones #1 dolor); Q-69: piloto de capacitación manejo de objeciones NPS 96 (posible mismo piloto que Q-13 AIDA, a confirmar). Análisis completo en research/evidencia_asesores_back_to_basics.md",normal,aplicado
2026-07-26T23:46:20,Alejandro,Q-69,Resultados completos del taller,"NPS 96 aproximado, sin detalle","NPS 96.67, satisfacción contenido 99.33%, speaker 98.67%, asistencia 83.33% (30/36); fuente CoE Experience Design; Copilot=probable AIDA, 3 puntos de coincidencia con Q-13",normal,aplicado
2026-07-26T23:52:57,Alejandro,DOC,presentacion_back_to_basics.md (expandido),"Origen, contexto, entregables V1, siguientes pasos","Suma resumen ejecutivo, sección de metodología, nueva sección de evidencia (encuesta 19 asesores + taller NPS 96.67), tablas de cifras para conversión directa a slides; numerado por secciones para mapear a la presentación",normal,aplicado
2026-07-26T23:59:50,Alejandro,DOC,presentacion_back_to_basics.md (orden de secciones),"Evidencia (encuesta+taller) en §6, después de Entregables V1 (§5); lámina de ecosistema en §4 separada","Evidencia movida antes de los entregables: nuevo §5 'Diagnóstico y resultados' fusiona ecosistema (§5.1) + encuesta asesores (§5.2) + taller manejo de objeciones (§5.3) + lectura conjunta (§5.4); Entregables V1 pasa a §6, Siguientes pasos a §7",normal,aplicado
2026-07-27T04:18:24,Alejandro,DOC,presentacion_back_to_basics.md (§5.1–5.4 diagnóstico),§5.1 describía el mapa por sus 9 frentes y dos nodos concentradores; §5.2/§5.3 con hallazgos resumidos,"§5.1 reescrita como 'Diagnóstico sistémico' con 3 hallazgos centrales (sobrecarga del asesor, lógicas que colisionan, experiencia desarticulada de cara al cliente) + hallazgos secundarios + imagen del mapa como output; §5.2 ampliada con tabla completa de uso de herramientas, desglose de satisfacción por pregunta y hallazgos secundarios (onboarding, uso informal de IA); §5.3 ampliada con drivers y oportunidades numerados; §5.4 y cierre (§9) actualizados para amarrar con los 3 hallazgos",normal,aplicado
2026-07-27T04:27:36,Alejandro,DOC,presentacion_back_to_basics_lowfi.html (nuevo),No existía versión low-fi guardada en el repo (solo como Artifact de revisión),"Guardada en reportes/presentacion_back_to_basics_lowfi.html: storyboard de 15 láminas (skill /low-fi-slides), con el mapa del ecosistema embebido tal cual en la sección de diagnóstico sistémico; indexada en CLAUDE.md",normal,aplicado
2026-07-27T04:40:29,Alejandro,DOC,presentacion_back_to_basics.md + lowfi.html (5 correcciones),Por qué ahora: >50% venta depende de CUA. Qué ya está construido: 'Estrategia de contacto...y AIDA'. Qué falta: 'Cuatro pilotos'. Encuesta incluía Ticker. Hallazgo 3 sin mención de acoso/maltrato,"Por qué ahora: competencia gana market share, RIMAC no crece (nuevo párrafo de respaldo en §4). Qué ya está construido: 'Estrategia del ramo, estrategias de comunicación...documentación para entrenamiento de AIDA'. Qué falta / §6.5: 'un piloto, 4 fases' (no 4 pilotos). Ticker retirado de la tabla de encuesta (§5.2). Hallazgo 3 (§5.1) ampliado: quejas son por sentirse acosado/maltratado, no por consentimiento formal",normal,aplicado
2026-07-27T05:23:58,Alejandro,DOC,"presentacion_back_to_basics.md + lowfi.html (replanteo §6/§7, gráfico)","§6 incluía 'Evidencia' (desk research, etc.) como entregable construido; §7 sin distinguir espejo/transformación; lámina 15 = cierre; lámina 9 con tabla de herramientas","§6 (Entregables V1) quita 'Evidencia' como categoría — se funde como contexto dentro de Estrategia de contacto; suma Sistema de perfilamiento por motivaciones y Toolkit de social selling (2 niveles) dentro de Playbook y materiales. §7.2/§7.3 reescritas con marco explícito espejo (otros canales) vs. transformación (AMI): qué se hereda, qué se ajusta/transforma, riesgo. Low-fi: lámina de cierre retirada; su lugar lo ocupa la nueva lámina 'Siguientes pasos 2/2' (comparación espejo/transformación); lámina 9 ahora grafica uso de herramientas con barras",normal,aplicado
