id,generacion,nse,region,educacion_financiera,sesgo_presente,canal_preferido,situacion_laboral,cobertura_previsional,tenencia_vehiculo,acceso_digital,bancarizado,trabajo_plataforma_digital,exposicion_riesgo_sismico,apertura_datos_ia,confianza_aseguradora,disposicion_compartir_datos_pricing,tenencia_seguro,seguro_desastres_naturales,wtp_ratio,propension_microseguro,edad,usa_whatsapp,resp_seguro_privado,resp_aseguradora,resp_para_quien,resp_como_resolvio,resp_por_que,resp_fuente_medicamento,resp_marca_generico,resp_no_mejora,resp_solucion_ideal
P_051,Gen_Z_18_27,C,Resto_Costa,baja,medio,bancaseguros,formal_dependiente,AFP,moto_mototaxi,alta,True,False,alta,media,neutral,baja,solo_obligatorio,False,1.104,alta,26,True,no,,solo_para_mi,farmacia_sin_receta,era_leve,lo_pedi_por_nombre,marca,vuelvo_a_la_farmacia,rapida_y_digital_sin_hablar_con_nadie
P_052,Gen_Z_18_27,C,Sierra,media,alto,bancaseguros,informal,ninguna,ninguno,alta,True,True,media,baja,confia_plena,baja,ninguno,False,0.777,alta,25,True,no,,tambien_terceros,botiquin_casero,desconfianza_medico,receta_previa_guardada,generico,vuelvo_a_la_farmacia,rapida_y_digital_sin_hablar_con_nadie
P_053,Gen_X_44_59,C,Sierra,media,alto,bancaseguros,informal,AFP,moto_mototaxi,media,False,False,alta,alta,desconfia,media,voluntario,False,1.154,alta,47,True,no,,tambien_hijos_y_mayores,farmacia_sin_receta,sistema_lento,consejo_tecnico_farmacia,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_054,Boomer_60_mas,C,Lima_Metropolitana,media,medio,bancaseguros,independiente_microemprendedor,ninguna,ninguno,media,True,False,alta,media,desconfia,baja,solo_obligatorio,False,1.064,alta,61,True,no,,tambien_mi_pareja_o_yo,consulta_remota_o_conocido,desconfianza_medico,consejo_familiar,marca,espero_un_poco_mas,que_me_confirme_un_profesional
P_055,Boomer_60_mas,C,Resto_Costa,baja,alto,bancaseguros,independiente_microemprendedor,ninguna,ninguno,media,False,False,alta,baja,confia_plena,baja,voluntario,False,1.07,media,65,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_056,Gen_Z_18_27,C,Sierra,baja,medio,bancaseguros,formal_dependiente,AFP,moto_mototaxi,alta,True,False,baja,alta,desconfia,media,voluntario,False,0.95,alta,20,True,no,,solo_para_mi,farmacia_sin_receta,sistema_lento,consejo_tecnico_farmacia,marca,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_057,Gen_Z_18_27,C,Sierra,baja,medio,directo_digital,formal_dependiente,AFP,auto,alta,True,False,media,alta,desconfia,baja,solo_obligatorio,False,1.041,alta,21,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_058,Millennial_28_43,B,Sierra,alta,medio,broker_corredor,formal_dependiente,ninguna,ninguno,alta,True,False,baja,baja,desconfia,baja,ninguno,False,0.913,media,33,True,no,,tambien_hijos,consulta_remota_o_conocido,costo,consejo_familiar,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_059,Gen_X_44_59,B,Resto_Costa,baja,alto,directo_digital,informal,ninguna,auto,alta,True,False,alta,media,desconfia,media,ninguno,False,0.726,media,45,True,no,,solo_para_mi,botiquin_casero,desconfianza_medico,consejo_familiar,generico,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_060,Gen_X_44_59,C,Resto_Costa,baja,medio,broker_corredor,formal_dependiente,AFP,moto_mototaxi,media,True,False,alta,media,confia_plena,alta,solo_obligatorio,False,0.739,media,46,True,no,,solo_para_mi,botiquin_casero,costo,consejo_familiar,indistinto,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_061,Millennial_28_43,C,Lima_Metropolitana,baja,alto,broker_corredor,informal,AFP,auto,alta,True,False,alta,alta,confia_plena,alta,solo_obligatorio,False,1.348,alta,43,True,no,,tambien_hijos,farmacia_sin_receta,sistema_lento,consejo_tecnico_farmacia,marca,vuelvo_a_la_farmacia,rapida_y_digital_sin_hablar_con_nadie
P_062,Boomer_60_mas,B,Resto_Costa,media,medio,ninguno,formal_dependiente,ninguna,ninguno,media,True,False,alta,baja,desconfia,media,voluntario,False,0.985,media,61,True,si,Sanitas,tambien_mi_pareja_o_yo,consulta_medica_formal,era_serio_o_tengo_cobertura,receta_del_medico,marca,teleconsulta_si_esta_incluida,prefiero_atencion_presencial
P_063,Gen_Z_18_27,C,Resto_Costa,baja,alto,bancaseguros,independiente_microemprendedor,ninguna,ninguno,alta,True,True,media,media,neutral,baja,ninguno,False,0.583,alta,22,True,no,,tambien_terceros,botiquin_casero,costo,receta_previa_guardada,indistinto,espero_un_poco_mas,rapida_y_digital_sin_hablar_con_nadie
P_064,Millennial_28_43,C,Selva,media,alto,bancaseguros,independiente_microemprendedor,ninguna,ninguno,media,False,False,media,baja,confia_plena,alta,voluntario,False,1.076,media,35,True,no,,solo_para_mi,botiquin_casero,sistema_lento,receta_previa_guardada,generico,teleconsulta_si_esta_incluida,que_me_confirme_un_profesional
P_065,Boomer_60_mas,C,Lima_Metropolitana,media,bajo,broker_corredor,informal,ninguna,auto,media,True,False,alta,media,desconfia,baja,voluntario,False,1.364,alta,64,True,no,,tambien_mi_pareja_o_yo,farmacia_sin_receta,era_leve,lo_pedi_por_nombre,marca,teleconsulta_si_esta_incluida,prefiero_atencion_presencial
P_066,Boomer_60_mas,C,Selva,baja,bajo,broker_corredor,informal,ninguna,ninguno,baja,True,False,baja,alta,desconfia,alta,ninguno,False,0.695,alta,61,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_067,Gen_X_44_59,C,Sierra,media,alto,bancaseguros,informal,ninguna,ninguno,media,True,False,media,alta,neutral,media,solo_obligatorio,False,1.132,alta,56,True,no,,tambien_hijos_y_mayores,farmacia_sin_receta,era_leve,consejo_tecnico_farmacia,marca,espero_un_poco_mas,digital_pero_con_humano_disponible
P_068,Gen_X_44_59,A,Resto_Costa,baja,medio,bancaseguros,independiente_microemprendedor,ninguna,auto,alta,True,False,media,media,neutral,baja,solo_obligatorio,False,0.921,media,49,True,no,,tambien_hijos_y_mayores,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,voy_al_medico_o_clinica,que_me_confirme_un_profesional
P_069,Millennial_28_43,A,Sierra,alta,bajo,broker_corredor,formal_dependiente,ONP,ninguno,alta,True,False,alta,alta,confia_plena,alta,voluntario,True,1.21,media,29,True,si,La Positiva,tambien_hijos,consulta_medica_formal,era_serio_o_tengo_cobertura,receta_del_medico,marca,voy_al_medico_o_clinica,rapida_y_digital_sin_hablar_con_nadie
P_070,Millennial_28_43,C,Resto_Costa,media,alto,broker_corredor,independiente_microemprendedor,AFP,ninguno,alta,True,False,alta,alta,confia_plena,alta,voluntario,False,1.213,alta,37,True,no,,tambien_hijos,farmacia_sin_receta,era_leve,consejo_tecnico_farmacia,marca,teleconsulta_si_esta_incluida,rapida_y_digital_sin_hablar_con_nadie
P_071,Millennial_28_43,B,Selva,baja,bajo,broker_corredor,formal_dependiente,AFP,moto_mototaxi,media,True,False,media,alta,desconfia,media,voluntario,False,1.002,media,42,True,no,,solo_para_mi,farmacia_sin_receta,falta_tiempo,lo_pedi_por_nombre,marca,teleconsulta_si_esta_incluida,digital_pero_con_humano_disponible
P_072,Millennial_28_43,C,Lima_Metropolitana,media,alto,bancaseguros,informal,ninguna,auto,alta,True,False,media,alta,desconfia,baja,ninguno,False,0.695,alta,38,True,no,,solo_para_mi,botiquin_casero,falta_tiempo,consejo_familiar,indistinto,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_073,Gen_X_44_59,B,Lima_Metropolitana,baja,alto,directo_digital,formal_dependiente,AFP,ninguno,alta,True,False,alta,baja,desconfia,alta,ninguno,False,0.624,media,45,True,no,,tambien_hijos_y_mayores,consulta_medica_formal,era_serio_o_tengo_cobertura,receta_del_medico,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_074,Boomer_60_mas,C,Lima_Metropolitana,media,alto,bancaseguros,independiente_microemprendedor,AFP,ninguno,media,True,False,alta,media,confia_plena,alta,solo_obligatorio,False,1.025,media,60,True,no,,solo_para_mi,farmacia_sin_receta,sistema_lento,consejo_tecnico_farmacia,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
